1192266,해양수산부 국립수산과학원
B550624,한국산업단지공단
B550936,한국과학기술기획평가원(KISTEP)
4460000,충청북도 괴산군
1400377,산림청 국립산림과학원
B552521,한국중부발전(주)
5380000,경상남도 양산시
B552486,한국소방산업기술원
B552745,한국사회적기업진흥원
1210000,국세청
B551202,한국보훈복지의료공단
B552719,그랜드코리아레저(주)
4850000,전라남도 담양군
B553501,한국국토정보공사
3400000,부산광역시 기장군
B552701,제주관광공사
B552570,태권도진흥재단
B554618,중소벤처기업연구원
1480802,환경부 화학물질안전원
3330000,부산광역시 해운대구
B551174,한국보건산업진흥원
B551378,수도권매립지관리공사
1690000,방위사업청
3380000,부산광역시 수영구
3360000,부산광역시 강서구
B554639,한국환경연구원
1371063,문화체육관광부 한국예술종합학교
1721115,과학기술정보통신부 국립중앙과학관
B553931,해양환경공단
B552986,세종학당재단
1371577,문화체육관광부 국립한글박물관
B190033,한국은행
B551938,울산항만공사
B551458,한국학중앙연구원
B552536,한국산업기술진흥원
B552474,한국노인인력개발원
1613436,국토교통부 국토지리정보원
4830000,전라남도 나주시
B552782,여수광양항만공사
B550928,국민건강보험공단
B554625,한국직업능력연구원
1543319,농림축산식품부 국립종자원
B551897,서울특별시성동구도시관리공단
B554334,국가철도공단
4771000,전북특별자치도 순창군
B350011,한국기계연구원
B551553,한국식품연구원
B553699,(재)한국저작권보호원
1371025,문화체육관광부 대한민국예술원
5250000,경상북도 울진군
B552881,국가평생교육진흥원
B190016,신용보증기금
B554729,한국농업기술진흥원
1192464,해양수산부 국립해양측위정보원
B550935,광주과학기술원
1833113,국가유산청 국립고궁박물관
B551541,경제인문사회연구회
B552711,건설근로자공제회
B553077,소상공인시장진흥공단
B552657,국립중앙의료원
1760000,인사혁신처
5670000,경상남도 창원시
1741050,행정안전부 국가기록원
